#50th percentile and +/- 1-sigma values for stellar parameters: metallicity z, log10age(yr) tau, masses M1 and M2 in solar mass, radii R1 and R2 in solar radius, flux ratio f2/f1 frat in kepler bandpass
#KIC z z+sigma z-sigma tau(log10yr) tau+sigma tau-sigma m1(msun) m1+sigma m1-sigma m2(msun) m2+sigma m2-sigma r1(rsun) r1+sigma r1-sigma r2(rsun) r2+sigma r2-sigma frat frat+sigma frat-sigma            
10849244 0.0113235531 0.0012853701 -0.0011746172 9.5074756298 0.1045898967 -0.0935390136 1.0510508412 0.0249992404 -0.0299905874 1.0519534793 0.0248578606 -0.0299712176 1.082911383 0.0089001534 -0.0106192355 1.0846927122 0.0089570879 -0.0103992084 1.0044470883 0.013291984 -0.0124361228            
10857589 0.0089797809 0.0001096154 -0.0001606497 9.4170663744 0.0019436967 -0.0024102653 1.4253885577 0.0005004409 -0.0004482665 0.8636687659 0.0002830455 -0.0002040928 2.8138894072 0.0028782506 -0.0026408766 0.7928895527 0.000282287 -0.0001790364 0.0636809237 +3.5888488686e-05 -3.645158795e-05            
10923260 0.0063949748 0.0002319635 -0.0002550353 9.1948371104 0.1428097602 -0.2187531401 0.9948029625 0.0213251366 -0.0188199674 0.3045375718 0.0046667149 -0.0040091182 0.94694244 0.006541323 -0.0065895653 0.2968264755 0.002297746 -0.0022280236 0.0040976014 +2.66562089686e-05 -2.7095792865e-05            
10935310 0.0056243253 0.0008614301 -0.0008292759 10.0281314945 0.0393537525 -0.1024689117 0.835497104 0.0427370921 -0.017519118 0.5581063181 0.0154832847 -0.011587863 1.0055309771 0.0133508635 -0.0087733782 0.5571862729 0.0109899309 -0.0122331197 0.0569001533 0.0032202678 -0.005262016            
10965963 0.0095362953 0.0010370826 -0.000938432 9.773373465 0.0221318288 -0.0206295052 1.064168723 0.0144509111 -0.0177112571 1.0126761531 0.0238508171 -0.0232158666 1.4715517283 0.0406670754 -0.0652490407 1.2093619934 0.0799262414 -0.0651993907 0.6546623666 0.1750055415 -0.1093031751            
10987439 0.0066847475 0.0003804118 -0.0004819307 7.1007253128 0.0170707354 -0.0154520554 1.2062198003 0.0098927306 -0.0199087024 1.4233364978 0.019944821 -0.0237151674 1.4199299594 0.0107055885 -0.0243700523 1.3270649585 0.009109061 -0.0102402098 1.6682691249 0.1036876542 -0.068143415            
11073223 0.0599910143 +6.7616117e-06 -1.5474633048e-05 9.7398817501 0.0001099362 -0.0002540478 1.1539414428 0.0002107844 -0.0002224344 0.8921679567 0.0006261387 -0.0006197004 1.4154009652 0.0006835316 -0.0007601929 0.8534809952 0.0008228648 -0.0008139439 0.2406007688 0.0009466433 -0.0009365176            
11147276 0.0186932069 0.0023656016 -0.0022019581 9.2728621116 0.1308569276 -0.1787754919 1.1968173106 0.0362529585 -0.0336765087 0.9028849086 0.0212855715 -0.0155131527 1.2248571053 0.0081610668 -0.0070484018 0.8153280079 0.0147670938 -0.0101810261 0.2186818474 0.0124256925 -0.0097715297            
11198723 0.0530769397 0.0050618962 -0.0094970598 7.7052911772 0.0509335692 -0.0472403206 1.3460055247 0.0138279167 -0.0066534663 0.8198223689 0.0201365483 -0.0129991402 1.3151433881 0.011644049 -0.0075383796 0.7587103349 0.0238677019 -0.016033736 0.0956286507 0.0078597071 -0.0050499568            
11228612 0.020875389 0.0028781677 -0.0013471075 9.8653207024 0.0365199666 -0.0278828453 0.9976120671 0.0127100777 -0.0163049967 0.7037035557 0.0061921578 -0.0069943712 1.0968676466 0.0041756908 -0.0061674125 0.6794442392 0.0024266929 -0.002908432 0.0931511715 0.0001745937 -0.0001425314            
11232745 0.0050689888 0.000565132 -0.00044333 10.0379872921 0.0312513698 -0.0840558426 0.7318884512 0.0219279356 -0.0084776752 0.6576372379 0.0182169422 -0.0082253243 0.7432212357 0.0094293694 -0.0057791277 0.647812074 0.0111929525 -0.0064938492 0.4809112838 0.0329685452 -0.0311988323            
11233911 0.0111198926 0.000151986 -0.0001324389 10.059719667 0.0002545387 -0.0005718659 0.8358467529 0.0085249915 -0.0018937351 0.9397638441 0.0003553468 -0.0002344378 0.9133247706 0.0226204063 -0.0046592889 1.7753559108 0.0053663143 -0.012224113 2.9920848157 0.0492998408 -0.2490909358            
11235323 0.0112176584 0.0001056621 -0.0001792408 9.1991391264 0.0006506335 -0.0010597037 1.4961303445 0.0009782107 -0.0006977471 1.7340852113 +2.91568814696e-05 -4.37632628123e-05 1.8443568317 0.0018998868 -0.0014900081 4.1837391741 0.0055082837 -0.0049611566 1.928450181 0.0012043559 -0.001210092            
11250867 0.0132951224 0.002580849 -0.0030188613 7.8515189754 0.0330408876 -0.0385204313 1.2846751515 0.0047910765 -0.0055519972 0.6464927246 0.0069968495 -0.011155654 1.2237679962 0.0032975421 -0.0035694477 0.6568480174 0.0029185751 -0.0028668286 0.0361548532 0.0002268345 -0.0002087705            
11252617 0.0042901803 0.0005029646 -0.0002303121 10.0137424537 0.0443900259 -0.0450783068 0.8748542699 0.0222685821 -0.0206875162 0.4649957174 0.0024908008 -0.0025226447 1.3150810309 0.0068670879 -0.0116237012 0.4530515364 0.001893661 -0.0020293617 0.012408913 0.0004971228 -0.0007281568            
11287726 0.0085272117 0.0016176404 -0.0013120609 6.4848424664 0.0525470937 -0.0379830558 1.7712634097 0.0440091999 -0.0712125972 0.9346602661 0.1022022899 -0.0910568117 2.2740795501 0.051268905 -0.0532891977 1.5061722091 0.0321800856 -0.0365275387 0.1647870159 0.0116739498 -0.0104643575            
11403216 0.0209383859 0.0024097185 -0.0009927554 9.7083017044 0.0955317371 -0.0881086995 1.1426114673 0.0393410889 -0.0396359128 0.4721955572 0.0060807997 -0.0076704377 1.3985388011 0.0145080765 -0.0178779971 0.4652085172 0.005098441 -0.0061315702 0.0040980285 +3.20353317523e-05 -3.10101384225e-05            
11409698 0.0122216492 0.0001923005 -0.0001832164 9.704362954 0.021095638 -0.0212329818 1.0673353348 0.0096045981 -0.0095299248 0.608497905 0.0028627878 -0.0028849798 1.2590747728 0.0030626656 -0.0030494836 0.598978499 0.0015706959 -0.0015791979 0.0275784714 +1.74726199264e-05 -1.67737887589e-05            
11506235 0.0011405375 0.0002596321 -0.0001069809 10.0173938853 0.0484049149 -0.1144559987 0.7954792462 0.0454534547 -0.0194096268 0.4300854901 0.0387763258 -0.0183593696 1.030418515 0.0191827308 -0.0116344424 0.3998796634 0.036301396 -0.0169281031 0.0199113386 0.0069548469 -0.0027703223            
11615481 0.0035133243 0.000637753 -0.0009004628 9.9358700998 0.0929884146 -0.0824299444 0.8995002946 0.0482904663 -0.047117362 0.8764597964 0.0289895398 -0.034461773 1.3202651438 0.0985549842 -0.0549298973 1.1708769533 0.0381898303 -0.0942932315 0.798566721 0.1237109942 -0.2426660577            
11616200 0.0171018302 0.0005461679 -0.0005996798 9.7166487054 0.0326259827 -0.0404893817 1.1534588253 0.0207463072 -0.0190946705 0.6665602737 0.0064342085 -0.0058819866 1.5487268943 0.007550967 -0.0071926338 0.6456256817 0.0031975122 -0.0031504073 0.0268148889 +3.14315627e-05 -3.13333527e-05            
11619964 0.0071903422 0.0011939588 -0.0011888085 9.1658998311 0.2677109902 -0.2873393477 1.0024316806 0.0277396216 -0.040289156 0.6157798561 0.0140589988 -0.015293771 0.9484486159 0.0101536992 -0.0117580057 0.5850267303 0.0106198405 -0.0125851991 0.070098272 0.0020991455 -0.0024655189            
11656302 0.0084215336 0.0001356231 -0.0002091195 10.037980638 0.0021168999 -0.0032768909 0.936969721 0.0005666659 -0.0008609029 0.3174154143 0.0036755384 -0.0041508049 2.1351702102 0.0165509458 -0.0222605951 0.3202944944 0.0029745582 -0.0034672975 0.0016426041 +1.62295301069e-05 -1.65686150423e-05            
11671429 0.0194123091 0.0032287101 -0.0007487825 8.9858670182 0.0197891672 -0.0091756535 2.0436956427 0.0135189197 -0.0204069595 1.5422250833 0.0096564803 -0.0174648369 3.1901330974 0.0095930259 -0.0097489595 1.6686178727 0.0074932496 -0.0078889487 0.2371385325 0.0002812835 -0.0002794371            
11704044 0.0100883535 0.0009280737 -0.0009170671 9.6598456752 0.098634525 -0.0876246333 0.8401708069 0.01377571 -0.0183608294 0.8235561383 0.0132817601 -0.0174702605 0.7909066991 0.0041632716 -0.0053152264 0.7721239417 0.004324854 -0.0059540803 0.8882916426 0.0122857737 -0.0066463047            
11769146 0.001221016 0.0001499657 -0.0001601212 8.5892827969 0.1405694101 -0.259284049 1.1177401646 0.0146407172 -0.0100771001 0.9148094599 0.0097619869 -0.0060033871 1.004069813 0.0039627349 -0.0026033501 0.8189347158 0.0032900004 -0.002537429 0.402081917 0.0002398373 -0.0002446567            
11811454 0.0053356913 +6.80338397429e-05 -9.35583858029e-05 9.4975878059 0.0014308975 -0.0016383225 1.2541117481 0.0013751654 -0.0012490402 0.9685229695 0.0010577824 -0.0009497084 2.4621918321 0.0034730436 -0.0043569368 0.9819518916 0.0022312825 -0.0020463691 0.1993762829 0.0006959838 -0.0030863569            
11817750 0.0056751426 0.001530048 -0.0012742073 9.391646382 0.0335410163 -0.045022394 1.2846563861 0.040072871 -0.0325826464 1.0762420491 0.0508878653 -0.0399495032 1.7188068999 0.014996279 -0.0177884622 1.1459310681 0.0683015821 -0.0561281319 0.3613411252 0.0645611149 -0.0489396984            
11826400 0.0087527688 0.0002959988 -0.0002732224 9.2434027768 0.0093855828 -0.0075038883 1.3441948435 0.005438788 -0.0062285655 0.3656172423 0.0011692495 -0.0012964864 1.5654119165 0.0027578839 -0.0030095238 0.353892531 0.0007448336 -0.0007764874 0.0012625587 +4.42624502e-06 -4.42451015e-06            
11858541 0.0229681952 0.0036156708 -0.00306924 7.03460164 0.0331586343 -0.0292014185 1.5325704179 0.0166852271 -0.0138854286 1.1617077195 0.020773746 -0.0175146972 1.9708281076 0.0121839165 -0.0122315122 1.2539544013 0.0143778126 -0.0138386167 0.1325860546 0.0053882907 -0.0058962453            
11867071 0.0086793501 0.0013714238 -0.0010951878 9.7200941059 0.0465329814 -0.0641220243 1.0643267199 0.0389663585 -0.0316920553 0.3778162544 0.0163149012 -0.0146353109 1.3659301394 0.0246593369 -0.0204111834 0.3683546679 0.014909844 -0.0135268173 0.002916989 +4.74271321422e-05 -4.08613514571e-05            
11873166 0.0062053792 0.0017159692 -0.0016882839 8.9010604485 0.2866606788 -0.3901631199 1.2538627281 0.0589168761 -0.0671248903 1.0435919987 0.0677040185 -0.0694216141 1.2394591593 0.017606335 -0.0259007566 0.9799697322 0.076994446 -0.0658003767 0.4098572608 0.0932353038 -0.06927189            
11906217 0.0021799278 0.000555706 -0.0004180127 7.5955485695 0.0320278999 -0.033477109 0.3541814423 0.0266967358 -0.0261455688 0.5942221855 0.0101419825 -0.0089592066 0.4532717579 0.0170116426 -0.0165636905 0.6247892284 0.0078956311 -0.0085916325 6.8904406211 0.1387357522 -0.151734507            
11922782 0.0434279219 0.0129682833 -0.0267028107 8.9589496311 0.1168398178 -0.0889445107 1.530435303 0.0089144467 -0.0292165286 1.0707623487 0.0075084054 -0.0151573541 1.6794500773 0.0030779458 -0.0100795516 0.9815279641 0.006531937 -0.0071303961 0.1692619959 0.0017688705 -0.0015760634            
11923819 0.0167187441 0.0015911323 -0.0011491272 7.0242594775 0.0551925374 -0.0448695071 1.7354249946 0.1182038407 -0.0227337533 1.7593933867 0.1150362205 -0.0237751434 1.7053511724 0.0396684063 -0.010283417 1.7088372379 0.0333586562 -0.0111048518 1.0663718381 0.0136354858 -0.0128556229            
11959569 0.0212668676 0.000264921 -0.0005238417 9.7190980878 0.0006929905 -0.001213909 1.0959621963 0.0004176681 -0.0005762956 1.2326535405 +6.98999439999e-05 -0.0001653003 1.2417757419 0.0008747619 -0.000476174 2.4736380045 0.0009396562 -0.001186127 1.9997569012 0.0001054191 -0.0001045813            
11966557 0.0079448817 0.0015915266 -0.0021703056 9.5984355599 0.1498997599 -0.103787025 1.0983227856 0.0384928483 -0.055219983 0.8511920969 0.0191743916 -0.0272518787 1.3420204974 0.010210854 -0.0168458147 0.8021832298 0.0125459482 -0.0141261048 0.2109467344 0.0004188476 -0.0004176258            
11967004 0.0069377396 0.0006981379 -0.0016125847 9.608610694 0.0927169777 -0.5195016091 1.0045906123 0.1104280417 -0.0292807058 0.3915163963 0.0188754486 -0.0111780775 1.0834336222 0.0307816143 -0.0096231089 0.3765873951 0.0122948707 -0.00915444 0.0058821903 0.0001062952 -9.8083791814e-05            
12013615 0.0186178298 0.0013607335 -0.0014471611 9.5937938173 0.0020523465 -0.0007982934 1.2367558676 0.0079147912 -0.0087106463 1.0658623766 0.005160035 -0.0056082993 1.642752661 0.0031371937 -0.0035474048 1.0980198929 0.0020578351 -0.0022805249 0.3810637139 0.0001109355 -0.0001086753            
12017140 0.0074689949 0.0001611758 -0.0001991104 9.806015906 0.0229413802 -0.0492209488 0.940924845 0.0155164613 -0.0081711054 0.2012502388 0.0031771004 -0.0020332073 1.0561017568 0.0082893008 -0.0070352043 0.2208971922 0.0020204353 -0.0016760503 0.0011467202 +1.16190664245e-05 -1.16287660079e-05            
12164634 0.0075325923 0.0003693871 -0.0004884922 9.6481252377 0.0380675984 -0.0498063362 1.1167039264 0.0220356385 -0.0161768564 0.3690613584 0.0047985686 -0.0041150799 1.5445390205 0.0130061378 -0.0117139016 0.3584519079 0.003229189 -0.0029679082 0.0021284721 +1.32664334233e-05 -1.36476231063e-05            
12208887 0.0088904557 0.0010464042 -0.0009072033 9.9427178207 0.0853838231 -0.1209079853 0.8278668857 0.032984837 -0.027318767 0.6447715269 0.0202055021 -0.0156725293 0.8471982048 0.0109091206 -0.0098436482 0.6331590745 0.0106143295 -0.0086867339 0.1857391308 0.0075883446 -0.0064147768            
12216706 0.0010481651 +7.11210931298e-05 -3.56555636803e-05 6.8412224269 0.010139824 -0.0169857578 1.125411292 0.0090152447 -0.0064641987 0.2455222891 0.019079371 -0.0179651769 1.5210758235 0.0081683949 -0.0078858223 0.6544004564 0.0159261656 -0.0130224368 0.0121802536 0.000387103 -0.0003077961            
12217907 0.0108547059 0.0004035527 -0.000344812 9.7761696421 0.0456343025 -0.0511123612 1.076254891 0.0284918531 -0.0256528437 0.7131404319 0.0103436684 -0.0094227684 1.4940443772 0.0106279608 -0.0096910574 0.6768816186 0.0049728324 -0.0045036527 0.0641762981 +3.9901046308e-05 -3.9937075696e-05            
12251779 0.0070000586 0.0005137819 -0.0006462084 9.9333474107 0.0493513836 -0.0536607779 0.9361434131 0.0198216038 -0.0192588019 0.3611584154 0.0046481132 -0.0042538487 1.3088117268 0.0087743357 -0.0080362673 0.3533694632 0.0025145092 -0.0023655067 0.0038429329 +1.71095037483e-05 -1.71860614615e-05            
12306808 0.0035811072 +9.79192190833e-05 -0.0001166138 10.0350211842 0.0033693163 -0.0034794015 0.8528757468 0.0018359444 -0.0017003436 0.8476288782 0.0005499162 -0.000931275 1.3766440532 0.0133513309 -0.0094778934 1.2651004343 0.0086290348 -0.0129986221 0.8914488045 0.0269946461 -0.0377059405            
12356914 0.0071305179 0.0015526923 -0.0012532059 9.7737079546 0.2006209068 -0.3272676752 0.9384291285 0.0760557385 -0.0644233706 0.602407826 0.0192483388 -0.0195351176 1.0261709369 0.0142415699 -0.0180335597 0.5874203293 0.014262305 -0.0151523205 0.0601986252 0.0019711318 -0.0012743658            
12459731 0.0014909729 0.000765634 -0.0003637104 7.1198687209 0.0738685419 -0.0736884234 0.8658532367 0.0296801956 -0.0204182944 0.7410835231 0.1407124185 -0.076295644 0.9719907678 0.0346997315 -0.0209818556 0.8564959868 0.152719104 -0.049288827 0.3200141267 0.9422922477 -0.1084674944            
12470530 0.0034919585 0.000539613 -0.0003796712 7.6022992316 0.0356331617 -0.0244091905 0.6564202715 0.0081583943 -0.0053729613 0.5391610586 0.0143680496 -0.0113517861 0.6705785856 0.0040869075 -0.0037484945 0.6105384917 0.0100533638 -0.0076434729 0.2622179988 0.0090563672 -0.007237798            
12557713 0.0088054848 0.0038497278 -0.0013484337 9.8066220836 0.2183871175 -0.5188780864 0.7218276987 0.0704022063 -0.0351892736 0.3378639222 0.1488964495 -0.0382204352 0.6835717262 0.0453623111 -0.0116453311 0.3339750009 0.1408518176 -0.0307090108 0.0246751679 0.0275602087 -0.003326614            
12644769 0.0100040419 +4.84001006985e-05 -3.93985370377e-05 10.0796450835 0.0002686192 -0.0006315983 0.6002288538 0.000457173 -0.0002809397 0.1913096754 0.0002840767 -0.0001989774 0.6092043388 0.000358094 -0.0002229321 0.2160839351 0.0002524003 -0.0001836177 0.0158238132 +2.95045537603e-05 -2.95325984694e-05            
